variable_name,model,emb_type,context,layer,y_preds,accs,f1s,f1_max_index,f1_max,f1_avg
       'metaphorical_general', 'philosophical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general',
       'scientific_alchemical', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'poetic', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'poetic', 'astronomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'philosophical',
       'geographical', 'mythological', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'geographical',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'geographical', 'poetic', 'astronomical',
       'metaphorical_general', 'geographical', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'philosophical', 'metaphorical_general', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'geographical',
       'philosophical', 'scientific_alchemical', 'scientific_alchemical',
       'philosophical', 'philosophical', 'scientific_alchemical',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'philosophical',
       'metaphorical_general', 'philosophical', 'geographical',
       'mythological', 'mythological', 'geographical', 'mythological',
       'poetic', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'poetic', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'geographical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'poetic',
       'metaphorical_general', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'mythological',
       'medical_anatomical', 'philosophical', 'metaphorical_general',
       'mythological', 'poetic', 'medical_anatomical', 'poetic',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'philosophical', 'philosophical', 'medical_anatomical',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'philosophical', 'philosophical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'astronomical', 'mythological', 'scientific_alchemical',
       'metaphorical_general', 'poetic', 'geographical',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'geographical',
       'poetic', 'philosophical', 'mythological', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'astronomical', 'mythological', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'philosophical', 'metaphorical_general', 'scientific_alchemical',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'mythological', 'mythological',
       'philosophical', 'medical_anatomical', 'philosophical',
       'mythological', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'mythological', 'philosophical',
       'mythological', 'medical_anatomical', 'metaphorical_general',
       'scientific_alchemical', 'philosophical', 'medical_anatomical',
       'mythological', 'scientific_alchemical', 'philosophical',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'mythological', 'astronomical', 'mythological', 'philosophical',
       'geographical', 'geographical', 'philosophical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'mythological', 'geographical', 'geographical', 'geographical',
       'mythological', 'mythological', 'mythological',
       'medical_anatomical', 'mythological', 'philosophical',
       'medical_anatomical', 'metaphorical_general',
       'scientific_alchemical', 'mythological', 'metaphorical_general',
       'mythological', 'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'scientific_alchemical', 'geographical', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'mythological', 'mythological', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'poetic', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'philosophical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'philosophical',
       'medical_anatomical', 'philosophical', 'astronomical',
       'medical_anatomical', 'geographical', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'geographical',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'mythological', 'geographical',
       'scientific_alchemical', 'mythological', 'geographical',
       'mythological', 'geographical', 'metaphorical_general', 'poetic',
       'mythological', 'historical_political', 'mythological',
       'mythological', 'geographical', 'mythological', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'mythological',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'poetic',
       'mythological', 'mythological', 'poetic', 'mythological',
       'mythological', 'philosophical', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'philosophical', 'mythological',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'philosophical', 'philosophical', 'scientific_alchemical',
       'mythological', 'mythological', 'mythological', 'geographical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical', 'geographical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'scientific_alchemical',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'metaphorical_general', 'mythological',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'mythological', 'geographical', 'mythological', 'mythological',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'scientific_alchemical', 'mythological',
       'medical_anatomical', 'scientific_alchemical', 'mythological',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
